date,UnixTimeStamp,Supply,MarketCap,Price
2015-07-30,1438214400,72049306.59,0,0
2015-07-31,1438300800,72085498.31,0,0
2015-08-01,1438387200,72113204.25,0,0
2015-08-02,1438473600,72141427.69,0,0
2015-08-03,1438560000,72169404.41,0,0
2015-08-04,1438646400,72197882.84,0,0
2015-08-05,1438732800,72225411.44,0,0
2015-08-06,1438819200,72252486.91,0,0
2015-08-07,1438905600,72279924.56,216.8397737,3
2015-08-08,1438992000,72307868,86.7694416,1.2
2015-08-09,1439078400,72335046.28,86.80205554,1.2
2015-08-10,1439164800,72362863.63,0,0
2015-08-11,1439251200,72390891.44,71.66698252,0.99
2015-08-12,1439337600,72418262.38,93.41955846,1.29
2015-08-13,1439424000,72446530.5,136.1994773,1.88
2015-08-14,1439510400,72477637.22,129.7349706,1.79
2015-08-15,1439596800,72506149.88,129.7860083,1.79
2015-08-17,1439769600,72534268.78,94.29454942,1.3
2015-08-16,1439683200,72561363.31,99.40906774,1.37
2015-08-18,1439856000,72587526.13,98.71903553,1.36
2015-08-19,1439942400,72614808.16,90.04236211,1.24
2015-08-20,1440028800,72635865.19,110.4065151,1.52
2015-08-21,1440115200,72662556.13,104.6340808,1.44
2015-08-22,1440201600,72690106.59,101.7661492,1.4
2015-08-23,1440288000,72716362.22,98.167089,1.35
2015-08-24,1440374400,72743695.5,90.20218242,1.24
2015-08-25,1440460800,72770431.59,92.41844812,1.27
2015-08-26,1440547200,72796569.56,85.89995208,1.18
2015-08-27,1440633600,72821102.38,83.01605671,1.14
2015-08-28,1440720000,72845327.53,94.69892579,1.3
2015-08-29,1440806400,72867852.53,85.98406599,1.18
2015-08-30,1440892800,72889306.13,96.21388409,1.32
2015-08-31,1440979200,72910599.56,95.51288543,1.31
2015-09-01,1441065600,72930942.53,99.18608184,1.36
2015-09-02,1441152000,72949329.88,83.16223606,1.14
2015-09-03,1441238400,72966710.81,89.7490543,1.23
2015-09-04,1441324800,72989792.69,98.53622013,1.35
2015-09-05,1441411200,73015421.75,100.0311278,1.37
2015-09-06,1441497600,73041590.03,97.87573064,1.34
2015-09-07,1441584000,73067050.5,93.52582464,1.28
2015-09-08,1441670400,73092943,92.09710818,1.26
2015-09-09,1441756800,73119370.66,88.47443849,1.21
2015-09-10,1441843200,73145814.88,87.0435197,1.19
2015-09-11,1441929600,73173054.72,67.31921034,0.92
2015-09-12,1442016000,73199455.81,84.17937418,1.15
2015-09-13,1442102400,73225627.22,65.17080822,0.89
2015-09-14,1442188800,73251215.34,70.32116673,0.96
2015-09-15,1442275200,73276830.66,69.61298912,0.95
2015-09-16,1442361600,73303148.78,68.90495985,0.94
